id,title,address,lat,long
0,Tan Kah Kee MRT,661 Bukit Timah Road,1.324644,103.8037113
1,Bedok Mall,311 New Upper Changi Road,1.324408,103.92711
2,Tampines Mall,4 Tampines Central 5,1.3526609,103.9430563
3,Orchard MRT,437 Orchard Road,1.3032902,103.8301373
4,321Clementi,321 Clementi Avenue 3,1.3119803,103.7628172
5,Vivocity,1 Harbourfront Walk,1.2642411,103.8201378
6,Singapore General Hospital,1 Hospital Drive,1.2789801,103.8320289
7,Velocity,238 Thompson Road,1.32,103.8087757
