id,title,address,lat,long
1,Tan Kah Kee MRT,661 Bukit Timah Road,1.324644,103.8037113
2,EJ's House,546 Upper East Coast Road,1.31564,103.9422153
3,Tampines Mall,4 Tampines Central 5,1.3526609,103.9430563
4,Orchard MRT,437 Orchard Road,1.3032902,103.8301373
5,321Clementi,321 Clementi Avenue 3,1.3119803,103.7628172
6,Vivocity,1 Harbourfront Walk,1.2642411,103.8201378
7,Singapore General Hospital,1 Hospital Drive,1.2789801,103.8320289
8,NUS High School,20 Clementi Avenue 1,1.3066632,103.7670024
